nombre,nombreCientifico,descripcion,imagen
Arbol de fuego,Brachychiton acerifolius,"Arbol de 8-15 m de alto habitualmente, aunque su especie alcanza una altura maxima de 40 m esta solo se da en su hábitat de origen. Crece rapidamente, y es muy longevo. Es tolerante a climas templados donde se cultiva por su belleza.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Illawarra_Flame_Tree_%28Brachychiton_acerifolius%29.jpg/250px-Illawarra_Flame_Tree_%28Brachychiton_acerifolius%29.jpg
Araucaria,Araucaria columnaris,"Se encuentran en bosques y estepas, con una afinidad para los sitios expuestos. Estos arboles columnados son fosiles vivientes, de la edad Mesozoica. Los registros fosiles demuestran que el genero tambien estuvo antes en el hemisferio norte hasta el final del período Cretaceo.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Norfolkpine001.jpg/800px-Norfolkpine001.jpg
Árbol de la sangre de dragón,Dracaena cinnabari ,"Es un arbol con un tronco grueso, que alcanza una altura de hasta de 10 metros. Las ramas se ramifican hacia fuera. Sus copas forman una semiesfera.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Socotra_dragon_tree.JPG/1024px-Socotra_dragon_tree.JPG
Olivo de Santa Helena,Nesiota,"Nesiota, es un género monotípico de arbusto perteneciente a la familia Rhamnaceae. Su unica especie, el olivo de Santa Helena Nesiota elliptica (Roxb.) Hook.f., fue nativa de las islas Santa Helena, Ascension y Tristan de Acuña en el Atlántico Sur. El ultimo arbol que quedaba en el medio silvestre murio en 1994, y la unica planta que quedaba en cultivo murio en diciembre de 2003, a pesar de los esfuerzos de conservacion. Por tanto, es un ejemplo tipico de las especies y géneros en extinción.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Nesiota_elliptica.jpg/250px-Nesiota_elliptica.jpg
Secuoya gigante,Sequoiadendron giganteum,"La secuoya gigante es el organismo vegetal más grande del mundo en términos de suma del volumen. Crecen a una altura media de entre 50 a 85 m y de 5 a 7 m de diámetro. Se tienen referencias de árboles que han existido de 94 m de altura y más de 11 m de diámetro. La secuoya gigante, conocida y más vieja con 3200 años, se calculó su edad, con el recuento de sus anillos de crecimiento.",https://es.wikipedia.org/wiki/Sequoiadendron_giganteum#/media/File:Grizzly_Giant_Mariposa_Grove.jpg
Coco de mar,Lodoicea maldivica,"Es un género de plantas perteneciente a la familia de las palmeras (Arecaceae). Es monotipico y su única especie el coco de mar (Lodoicea maldivica) es originaria de las Seychelles y de Maldivas, esta especie produce la mayor semilla del mundo, puede llegar a pesar 20 kg.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lodoicea_Maldivica_A.jpg/800px-Lodoicea_Maldivica_A.jpg
Sicomoro,Ficus sycomorus,"Es un árbol de la familia de las moráceas y del género de las higueras que tuvo gran importancia en el Antiguo Egipto, aunque actualmente es difícil de encontrar en ese país. Los británicos le llaman sycamore, pero también fig-mulberry, por el parecido de sus hojas a las de la morera.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Azor-S-507.jpg/800px-Azor-S-507.jpg
Jacaranda,Jacarandeae,"Muchas especies pueden alcanzar desde los 2 a los 30 metros de altura, de los cuales el fuste representa unos dos tercios. Éste llega a los 70 cm de diámetro, de forma recta y estilizada. La copa es poco densa y se asemeja a un cono invertido. En su especie Jacaranda mimosifolia es caducifolio en clima templado al llegar la primavera, como otras especies tropicales.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jacaranda.jpg/800px-Jacaranda.jpg
Arbol de castaña,Castanea,"Arboles o arbustos de hojas alternas caducas en invierno, a veces rizomatosos, entomófilos. Las hojas son de márgenes aserrados, con estípulas prominentes y tempranamente caducas, con limbo delgado algo coriáceo y nervios secundarios no ramificados que se extiende hasta el margen, cada nervio terminando en un diente afilado o arista bien desarrollada. Las inflorescencias, en amentos axilares erectos, rígidos o flexibles, llevan las flores masculinas en su parte distal y las femeninas en la base.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Casta%C3%B1o3.jpg/255px-Casta%C3%B1o3.jpg
Roble ,Quercus,"El término roble se utiliza para referirse a muchas especies de árboles del género Quercus, nativo del hemisferio norte, y ocasionalmente también a especies de otros géneros de la misma familia (Fagaceae) o incluso de otras familias, como en el caso de algunas especies sudamericanas de Nothofagus (fam. Nothofagaceae). En sentido estricto del término, en la península Ibérica los robles comprenden las siguientes especies:1 Quercus faginea Lam., Quercus humilis Miller, Quercus petraea (Mattuschka) Liebl., Quercus pyrenaica Willd., Quercus robur L. y Quercus rubra L.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Robles.JPG/1024px-Robles.JPG
Cedro,Cedrus,"Los cedros constituyen un género de coníferas pináceas. Son árboles de gran tamaño, de madera olorosa y copa cónica o vertical, muy utilizados para ornamentación de parques. Poseen una distribución disjunta: Norte de África, Medio Oriente y el Himalaya.",https://upload.wikimedia.org/wikipedia/commons/f/fc/Cedre-large.jpg
Abedul,Betula,"Betula es un género de árboles de la familia Betulaceae y del orden Fagales. El nombre común «abedul» designa a varios diferentes árboles caducifolios pertenecientes a este género; a veces también se designa con este nombre a los alisos (Alnus glutinosa), árboles pertenecientes a la misma familia. Su nombre procede del latín bet?lla que a su vez procedería de la palabra betu que era como los celtas designaban al abedul.",https://upload.wikimedia.org/wikipedia/commons/c/c2/Betula_lenta_subsps_lenta_01-10-2005_14.54.08.JPG
Bambú,Bambusoideae,"Bambusoideae es el nombre de una subfamilia de plantas que pertenecen a la familia de las gramíneas o Poaceae, una de las familias botánicas más extensas e importantes para el hombre. Cuando el culmo es leñoso (una caña) su nombre vulgar es bambú. La tribu Arundinarieae es conocida como ""los bambúes leñosos de climas templados"", la tribu Bambuseae contiene ""los bambúes leñosos de clima tropical"", y Olyreae es la tribu de ""culmos herbáceos"".",https://upload.wikimedia.org/wikipedia/commons/f/f3/Bamboo_forest.jpg
Ebano,Diospyros ebenum,"Es un árbol de la familia de las ebenáceas; muy frondoso, puede alcanzar hasta 10 ó 12 m de altura. Tiene hojas pequeñas y por lo común es un árbol muy espinoso; cada espina puede llegar a medir 2 cm. de largo. Alcanza su pleno crecimiento en 5 a 6 años, posee tallos muy gruesos y su tronco se usa en ebanistería por lo duro de la madera. Produce un fruto en forma de vaina comestible llamada maguacata o mahuacata.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kaluwara-Diospyros_ebenum-Sri_Lanka_%281%29.jpg/240px-Kaluwara-Diospyros_ebenum-Sri_Lanka_%281%29.jpg
Fresno,Fraxinus,"Este árbol alcanza 15 a 20 metros de altura, de tronco recto y cilíndrico, proyecta mucha sombra. Es una especie dioica, esto es, cada sexo en un solo pie. Las hojas son opuestas, raramente en verticilos de tres, y generalmente pinnaticompuestas, aunque en algunas especies son simples. Las semillas están contenidas en una sámara.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Fresnos_Rebrotados.jpg/1024px-Fresnos_Rebrotados.jpg
Azobe,Lophira alata,"El nombre alternativo para este gran árbol de bosque, “palo de hierro”, se refiere a la naturaleza pesada y fuerte de su valiosa madera. El tronco de este árbol es generalmente recto, sin contrafuertes, en ocasiones presenta una base hinchada y por lo general libre de ramas hasta aproximadamente los 30 metros de altura. La corteza es generalmente de color marrón rojizo, con hasta dos centímetros de espesor y tiene un color amarillo brillante debajo de esta capa. Los árboles jóvenes de menos de cuatro metros de altura, tienen una corteza gris verdosa, que se vuelve de color rosa o marrón claro a medida que el árbol madura. Las hojas del azobe son de hasta 25 centímetros de largo, fuertes, muy estrechas y alargadas, con una punta redondeada o ligeramente dentada, y tienden a aparecer en grupos en los extremos de las ramas. Su tamaño total puede ser de hasta 60 m y el diámetro de su tronco de hasta 1,5m.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Kladka_przez_fose_AzobeBongossi_LophiraAlata.JPG/220px-Kladka_przez_fose_AzobeBongossi_LophiraAlata.JPG
Cactus,Cactaceae,"Las cactáceas (Cactaceae) son una familia de plantas suculentas y, en gran mayoría, espinosas, conocidas en conjunto como cactos o cactus. Esta familia es originaria de América. Sin embargo, hay una excepción, Rhipsalis baccifera, que está extendida en África tropical, Madagascar y Ceilán. Se cree que la colonización del Viejo Mundo por esta especie es relativamente reciente (unos cuantos cientos de años), probablemente transportada en el tracto digestivo de pájaros migratorios en forma de semillas o, según otra teoría, en forma de plantas adheridas a troncos impulsados por corrientes marinas. Muchas otras especies de cactáceas se han naturalizado, en condiciones similares a las de su hábitat, en otras partes del mundo, tras ser introducidas por el hombre. El mejor ejemplo es quizás Opuntia ficus-indica, especie que se encuentra plenamente integrada en la zona mediterránea. Fue introducida allí por sus frutos comestibles.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Parodia_leninghausii_11.JPG/800px-Parodia_leninghausii_11.JPG
,,,
